n,tipoCurto,Raf,Rbf,Rcf,RaTrif,RbTrif,RcTrif,IA_T2F,IB_T2F,IC_T2F,IA_TRIF,IB_TRIF,IC_TRIF
0.9,1,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,95.28476,97.53545,98.06178,134.3731,139.3381,138.7867
0.9,2,1e-05,1000000,1e-05,1e-05,1000000,1e-05,80.31515885,13.04674559,88.39413711,116.3646193,2.813576912,118.6319759
0.9,3,1000000,1e-05,1e-05,1000000,1e-05,1e-05,12.40022202,88.68090548,80.96682476,2.482188365,120.9278828,118.9333782
0.9,4,1e-05,1e-05,1000000,1e-05,1e-05,1000000,86.98486813,79.36502063,12.7185261,120.8676909,118.7748582,2.492199533
0.9,5,1000000,1000000,1000000,1000000,1000000,1000000,12.66848178,12.77356328,12.71535868,2.492715725,2.813591586,2.493558314
0.95,1,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,91.24366,94.65978,95.86964,128.8927,133.7015,133.2224
0.95,2,1e-05,1000000,1e-05,1e-05,1000000,1e-05,77.96411628,13.13542993,86.19073921,111.6068403,2.813575555,113.8919927
0.95,3,1000000,1e-05,1e-05,1000000,1e-05,1e-05,12.31149818,86.34388447,78.77593187,2.483311354,116.0915665,114.0817262
0.95,4,1e-05,1e-05,1000000,1e-05,1e-05,1000000,83.57564606,76.06824336,12.71847606,116.0244259,113.9150075,2.491334264
0.95,5,1000000,1000000,1000000,1000000,1000000,1000000,12.66840993,12.77349887,12.71532531,2.492730873,2.813590473,2.493541814
0.999,1,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,87.58908,92.01037,93.81189,123.9249,128.5877,128.1723
0.999,2,1e-05,1000000,1e-05,1e-05,1000000,1e-05,75.78044036,13.21890723,84.14497749,107.291615,2.813575588,109.5927458
0.999,3,1000000,1e-05,1e-05,1000000,1e-05,1e-05,12.22996103,84.17337266,76.74197015,2.484461198,111.7043861,109.6807898
0.999,4,1e-05,1e-05,1000000,1e-05,1e-05,1000000,80.48395222,73.0796352,12.71842699,111.6303455,109.5060681,2.490452252
0.999,5,1000000,1000000,1000000,1000000,1000000,1000000,12.66833977,12.77343612,12.7152926,2.492748351,2.81359022,2.493524604
